US_University,Total_score
University_of_California_Irvine,89.95
Stanford_University,89.86
Thompson_Rivers_University,89.63
Arizona_State_University,89.31
University_of_California_Merced,86.64
State_University_of_New_York_College_of_Environmental_Science_and_Forestry,85.21
Colorado_State_University,84.68
University_of_Connecticut,84.68
University_of_New_Hampshire,84.3
Colby_College,83.62
Universite_Laval,83.2
Cornell_University,82.14
University_of_California_Berkeley,81.47
Dickinson_College,80.67
University_of_Massachusetts_Amherst,80.04
University_of_Massachusetts_Lowell,80.04
Chatham_University,80.01
University_of_California_Davis,79.61
Santa_Clara_University,79.45
Seattle_University,79.41
