bowl_game,Sponsorship_(in_million_U.S._dollars)
Tostitos_Fiesta_Bowl,17.5
Allstate_Sugar_Bowl,17.5
Discover_Orange_Bowl,16.0
Rose_Bowl_Game_presented_by_Vizio,15.0
AT&T_Cotton_Bowl_Classic,3.0
Outback_Bowl,3.0
Capital_One_Bowl,2.5
Chick-fil-A_Bowl,2.5
Buffalo_Wild_Wings_Bowl,2.0
Valero_Alamo_Bowl,2.0
New_Era_Pinstripe_Bowl,2.0
BBVA_Compass_Bowl,2.0
TaxSlayer.com_Gator_Bowl,2.0
Kraft_Fight_Hunger_Bowl,1.0
Meineke_Car_Care_Bowl_of_Texas,1.0
GoDaddy.com_Bowl,1.0
Hyundai_Sun_Bowl,1.0
AutoZone_Liberty_Bowl,1.0
Bell_Helicopter_Armed_Forces_Bowl,0.75
Franklin_American_Mortgage_Music_City_Bowl,0.75
Little_Caesars_Pizza_Bowl,0.5
Bridgepoint_Education_Holiday_Bowl,0.5
MAACO_Bowl_Las_Vegas,0.5
Russell_Athletic_Bowl,0.5
Sheraton_Hawaii_Bowl,0.45
San_Diego_County_Credit_Union_Poinsettia_Bowl,0.4
R+L_Carriers_New_Orleans_Bowl,0.4
Belk_Bowl,0.4
AdvoCare_V100_Independence_Bowl,0.4
Beef_'O'Brady's_Bowl_St._Petersburg,0.38
Gildan_New_Mexico_Bowl,0.35
Famous_Idaho_Potato_Bowl,0.35
Military_Bowl_presented_by_Northrop_Grumman,0.35
Heart_of_Dallas_Bowl_presented_by_PlainsCapital_Bank,0.35
