Month,Number_of_players_in_thousands
Nov_'20,68.55
Oct_'20,69.89
Sep_'20,90.32
Aug_'20,154.25
Jul_'20,58.72
Jun_'20,81.8
May_'20,76.17
Apr_'20,94.16
Mar_'20,88.22
Feb_'20,70.8
Jan_'20,59.19
Dec_'19,84.08
Nov_'19,87.62
Oct_'19,60.93
Sept_'19,80.47
Aug_'19,96.26
Jul_'19,94.91
Jun_'19,74.26
May_'19,97.07
Apr_'19,107.9
Mar_'19,115.1
Feb_'19,74.47
Jan_'19,82.27
Dec_'18,89.03
Nov_'18,131.77
Oct_'18,99.74
Sept_'18,86.98
Aug_'18,107.1
Jul_'18,118.19
Jun_'18,129.0
May_'18,73.1
Aprl_'18,85.23
Mar_'18,81.34
Feb_'18,82.38
Jan_'18,69.0
Dec_'17,76.56
Nov_'17,102.97
Oct_'17,121.38
Sept_'17,58.61
Aug_'17,55.74
Jul_'17,58.31
Jun_'17,51.42
May_'17,47.73
Apr_'17,50.82
Mar_'17,69.53
Feb_'17,45.31
Jan_'17,47.13
Dec_'16,56.81
Nov_'16,68.53
Oct_'16,34.09
Sept_'16,39.04
Aug_'16,46.27
Jul_'16,61.42
Jun_'16,41.74
May_'16,44.09
Apr_'16,47.24
Mar_'16,66.31
Feb_'16,49.68
Jan_'16,50.18
