Telecommunication_operator,Revenue_in_billion_euros
Deutsche_Telekom_(Germany),73.1
Telefónica_(Spain),52.0
Vodafone_(UK),47.6
Orange_(France),40.9
BT_(UK),29.4
Telecom_Italia_(Italy),19.0
Telenor_(Norway),14.1
Numericable-SFR_(France),11.0
Swisscom_(Switzerland),10.7
Rogers_Communication_(Canada),9.3
MTN_(South_Africa),9.0
TeliaSonera_(Sweden),8.9
KPN_(Netherlands),6.8
MTS_(Russia),5.9
Belgacom-Proximus_(Belgium),5.9
Bouygues_Telecom_(France),4.8
Turk_Telecom_(Turkey),4.8
MegaFon_(Russia),4.3
Turkcell_(Turkey),4.3
