Sovereign_wealth_fund,Managed_assets_in_billion_U.S._dollars
Norway_Government_Pension_Fund_Global_(Norway),1186.67
China_Investment_Corporation_(China),940.6
Abu_Dhabi_Investment_Authority_(UAE),579.62
Kuwait_Investment_Authority_(Kuwait),533.65
Hong_Kong_Monetary_AuthorityInvestment_Portfolio_(China_-_Hong_Kong),528.05
GIC_Private_Limited_(Singapore),453.2
SAFE_Investment_Company_(China),417.84
Temasek_Holdings_(Singapore),375.38
Public_Investment_Fund,360.0
National_Council_for_Social_Security_Fund_(China),325.0
