Year,Number_of_nominations
Marriage_Story,6
The_Irishman,5
Once_Upon_a_Time...in_Hollywood,5
Joker,4
The_Two_Popes,4
1917,3
Knives_Out,3
Parasite,3
Rocketman,3
Bombshell,2
Dolemite_Is_My_Name,2
The_Farewell,2
Frozen_2,2
Harriet,2
Jojo_Rabbit,2
The_Lion_King,2
Little_Women,2
Pain_and_Glory,2
A_Beautiful_Day_in_the_Neighborhood,1
Booksmart,1
Cats,1
Ford_v_Ferrari,1
How_to_Train_Your_Dragon:_The_Hidden_World,1
Hustlers,1
Judy,1
Late_Night,1
Les_Misérables,1
Missing_Link,1
Motherless_Brooklyn,1
Portrait_of_a_Lady_on_Fire,1
The_Report,1
Richard_Jewell,1
Toy_Story_4,1
Where'd_You_Go_Bernadette,1
