Quarter,Advertising,Data_licensing_and_other
Q3_'20,808.45,127.78
Q2_'20,561.99,121.44
Q1_'20,682.19,125.45
Q4_'19,884.55,122.8
Q3_'19,702.26,121.46
Q2_'19,727.12,114.26
Q1_'19,679.47,107.42
Q4_'18,791.37,117.47
Q3_'18,649.82,108.3
Q2_'18,601.06,109.48
Q1_'18,575.16,89.72
Q4_'17,644.26,87.3
Q3_'17,502.8,86.83
Q2_'17,489.15,84.71
Q1_'17,473.78,74.47
Q4_'16,637.82,79.39
Q3_'16,544.97,70.97
Q2_'16,534.52,67.43
Q1_'16,530.74,63.78
Q4_'15,640.68,69.79
Q3_'15,512.87,56.37
Q2_'15,452.28,50.11
Q1_'15,388.21,47.73
Q4_'14,432.0,47.08
Q3_'14,320.2,41.07
Q2_'14,277.44,34.73
Q1_'14,226.05,24.44
Q4_'13,219.68,23.0
Q3_'13,153.44,15.14
Q2_'13,120.97,18.32
Q1_'13,100.46,13.88
