film,Revenue_in_million_U.S._dollars
Star_Wars:_The_Force_Awakens,936.66
Star_Wars:_The_Last_Jedi,620.18
Rogue_One:_A_Star_Wars_Story,532.18
Star_Wars_Episode_IX:_The_Rise_of_Skywalker,515.2
Star_Wars_Episode_I:_The_Phantom_Menace,431.09
Star_Wars_Episode_III:_Revenge_of_the_Sith,380.27
Star_Wars_Episode_IV:_A_New_Hope,307.26
Star_Wars_Episode_II:_Attack_of_the_Clones,302.19
Star_Wars_Episode_VI:_Return_of_the_Jedi,252.58
Solo:_A_Star_Wars_Story,213.77
Star_Wars_Episode_V:_The_Empire_Strikes_Back,209.4
