Response,Share_of_respondents
Lack_of_real-time_customer_insights,31
Operationalizing_the_CX,28
Finding_the_budget_for_CX,25
Legacy_technology_not_being_able_to_adjust,22
Difficulty_in_measuring_CX,20
Lack_of_CX_skills_/_knowledge,19
Convincing_areas_of_the_business_the_importance_of_CX,18
Demonstrating_RoI_for_CX,18
Personalization,18
Siloed_approach_to_managing_customer_experience,18
Regularly_needing_to_update_/_upgrade_technology,17
No_owner_or_champion_for_CX_within_organizations,16
Lack_of_central_CX_strategy,15
There_are_currently_no_CX_challenges,13
