State,Democrat,Republican
District_of_Columbia,15,0
Alaska,0,14
Idaho,0,14
Kansas,0,14
Nebraska,0,14
North_Dakota,0,14
Oklahoma,0,14
South_Dakota,0,14
Utah,0,14
Wyoming,0,14
Minnesota,12,0
Alabama,0,11
Mississippi,0,11
South_Carolina,0,11
Texas,0,11
Hawaii,9,0
Massachusetts,9,0
New_York,9,0
Oregon,9,0
Rhode_Island,9,0
Washington,9,0
California,8,0
Connecticut,8,0
Delaware,8,0
Illinois,8,0
Maine,8,0
Maryland,8,0
New_Jersey,8,0
Vermont,8,0
Montana,0,7
Arkansas,0,6
Tennessee,0,6
West_Virginia,0,6
Missouri,0,6
Kentucky,0,6
Louisiana,0,6
New_Hampshire,5,0
Colorado,4,0
Nevada,4,0
New_Mexico,4,0
Virginia,4,0
Indiana,0,3
North_Carolina,0,3
Florida,0,2
Iowa,0,2
Ohio,0,2
Arizona,1,0
Georgia,1,0
Michigan,1,0
Pennsylvania,1,0
Wisconsin,1,0
