Retail_category,Net_intention_to_increase_or_decrease_spending
Groceries,14
Entertainment_at_home,5
Household_supplies,2
Snacks,-1
Personal_care_products,-3
Vitamins/supplements,-4
Food_take_out/delivery,-5
Non-food_child_products,-6
Tobacco_products,-6
Pet-care_services,-8
Gasoline,-9
Alcohol,-10
Books/magazines/newspapers,-13
Fitness_and_wellness,-14
OTC_medicines,-15
Personal_care_services,-18
Quick-service_restaurant,-19
Skincare_and_makeup,-20
Out_of_home_entertainment,-23
Footwear,-28
Apparel,-29
Restaurant,-30
Vehicle_purchases,-30
Furnishings_and_appliances,-32
Accessories,-33
Consumer_electronics,-33
Jewelry,-35
