Tourist_attraction,Visitors_(in_millions)
Times_Square_New_York,35.0
National_Mall_&_Memorial_Park_Washington_D.C.,25.0
Disney_World's_Magic_Kingdom_Florida,16.6
Trafalgar_Square_London,15.0
Disneyland_Park_Anaheim_California,14.7
Niagarafälle_Ontario_and_New_York,14.0
Fisherman's_Warf/_Golden_Gate_Bridge_San_Francisco,13.0
Tokyo_Disneyland/_Disney_Sea_Tokyo,12.9
Notre_Dame_de_Paris,12.0
Disneyland_Paris_Marne-La-Vallee,10.6
The_Great_Wall_of_China_Badaling,10.0
The_Great_Smoky_Mountain_Nationalpark_Tennessee,9.2
Universal_Studios_Osaka,8.5
Basilique_du_Sacré-Cœur_de_Montmartre_Paris,8.0
Musée_de_Louvre_Paris,7.5
Everland_South_Korea,7.5
The_Forbidden_City_Beijing,7.0
The_Eiffel_Tower_Paris,6.7
Universal_Studios/_Island_of_Adventure_Orlando,6.0
Sea_World_Orlando,5.7
