Fastest_growing_companies,Revenue_compound_annual_growth_rate_(CAGR)
HTK_Lentes_Oftálmicas_(Haytek_Lentes),90.4
Valemobi_Consultoria_Empresarial,75.5
Omega_Geração,73
CCM_Indústria_e_Comércio_de_Produtos_Descartáveis,59.9
J.A._Saúde_Animal_Indústria_e_Comércio_de_Produtos_Veterinários,43.4
PRAVALER,39.2
BrD_Brasil_Distressed_Consultoria_Empresarial,39
Daitan_Labs_Soluções_em_Tecnologia,38.8
Previmil_Vida_e_Previdência,38
Ventisol_Indústria_e_Comércio,35.9
Aquiris_Game_Studio,34.8
Buysoft_do_Brasil,34.2
DB1_Global_Software,33.4
America_Holding_Participações,31.3
Metalúrgica_Hassmann,28.9
