Year,Percentage_change_q-o-q
2020_Q3,97
2020_Q2,114.7
2020_Q1,8.2
2019_Q4,-2.6
2019_Q3,5.2
2019_Q2,-3.7
2019_Q1,0.6
2018_Q4,3.6
2018_Q3,6.4
2018_Q2,14.4
2018_Q1,11.4
2017_Q4,10.5
2017_Q3,13.7
2017_Q2,12.4
2017_Q1,17.4
2016_Q4,26.4
2016_Q3,13
2016_Q2,14.1
2016_Q1,8.3
2015_Q4,10.2
2015_Q3,14.4
2015_Q2,11.3
2015_Q1,13.4
2014_Q4,9.5
2014_Q3,13.1
2014_Q2,14.2
2014_Q1,10.2
2013_Q4,12.8
2013_Q3,12.2
2013_Q2,10.2
2013_Q1,15.3
2012_Q4,16.8
2012_Q3,18.5
2012_Q2,17.1
2012_Q1,14.3
2011_Q4,11.6
2011_Q3,4.4
2011_Q2,1
2011_Q1,3.5
2010_Q4,19.1
2010_Q3,19.3
2010_Q2,31.6
2010_Q1,33.9
