ice_hockey_team,Payroll_in_million_U.S._dollars
Dallas_Stars,89
Columbus_Blue_Jackets,87
Nashville_Predators,86
Detroit_Red_Wings,85
Vegas_Golden_Knights,84
Edmonton_Oilers,84
Pittsburgh_Penguins,83
St._Louis_Blues,82
Winnipeg_Jets,82
San_Jose_Sharks,82
Washington_Capitals,82
Calgary_Flames,81
Los_Angeles_Kings,81
Minnesota_Wild,81
Boston_Bruins,81
Vancouver_Canucks,81
Toronto_Maple_Leafs,81
Anaheim_Ducks,80
Florida_Panthers,78
Tampa_Bay_Lightning,77
Buffalo_Sabres,77
Montreal_Canadiens,77
Chicago_Blackhawks,75
New_York_Rangers,75
Philadelphia_Flyers,73
Arizona_Coyotes,73
Ottawa_Senators,72
Colorado_Avalanche,71
New_York_Islanders,70
New_Jersey_Devils,69
Carolina_Hurricanes,66
