nba_team_and_year,Purchase_price_in_million_U.S._dollars
Brooklyn_Nets__(2019),2350
Houston_Rockets__(2017),2200
Los_Angeles_Clippers__(2014),2000
Atlanta_Hawks__(2015),730
Washington_Wizards_(2010),551
Milwaukee_Bucks__(2014),550
Sacramento_Kings_(2013),534
Golden_State_Warriors__(2010),450
Phoenix_Suns__(2004),404
Toronto_Raptors__(2012),400
Memphis_Grizzlies__(2012),377
Cleveland_Cavaliers__(2005),375
Boston_Celtics_(2002),360
New_Orleans_Pelicans_(2012),338
Detroit_Pistons__(2011),325
Oklahoma_City_Thunder__(2006),325
New_York_Knicks_(1997),300
Philadelphia_76ers__(2011),287
Dallas_Mavericks__(2000),280
Los_Angeles_Lakers__(1998),268
Denver_Nuggets__(2000),202
Charlotte_Hornets__(2010),175
Minnesota_Timberwolves__(1995),89
Orlando_Magic__(1991),85
San_Antonio_Spurs_(1996),76
Portland_Trail_Blazers__(1988),70
Miami_Heat__(1988),33
Utah_Jazz__(1986),24
Chicago_Bulls__(1985),16
Indiana_Pacers__(1983),11
