Month,Number_of_new_cases
Jan_3,4962
Jan_2,3394
Jan_1,1754
Dec_31,1620
Dec_30,1718
Dec_29,1546
Dec_28,765
Dec_27,744
Dec_26,1296
Dec_25,1025
Dec_24,922
Dec_23,938
Dec_22,970
Dec_21,727
Dec_20,764
Dec_19,527
Dec_18,582
Dec_17,484
Dec_16,431
Dec_15,329
Dec_14,264
Dec_13,429
Dec_12,248
Dec_11,313
Dec_10,310
Dec_9,227
Dec_8,215
Dec_7,242
Dec_6,301
Dec_5,456
Dec_4,265
Dec_3,183
Dec_2,270
Dec_1,269
Nov_30,306
Nov_29,299
Nov_28,243
Nov_27,206
Nov_26,335
Nov_25,269
Nov_24,226
Nov_23,252
Nov_22,318
Nov_21,344
Nov_20,330
Nov_19,429
Nov_18,379
Nov_17,366
Nov_16,456
Nov_15,378
Nov_14,456
Nov_13,482
Nov_12,395
Nov_11,362
Nov_10,270
Nov_9,270
Nov_8,542
Nov_7,335
Nov_6,499
Nov_5,591
Nov_4,444
Nov_3,322
Nov_2,767
Nov_1,552
Oct_31,416
Oct_30,772
Oct_29,866
Oct_28,675
Oct_27,720
Oct_26,939
Oct_25,1025
Oct_24,859
Oct_23,777
Oct_22,1066
Oct_21,1167
Oct_20,1269
Oct_19,1031
Oct_18,1283
Oct_17,1276
Oct_16,1000
Oct_15,1205
Oct_14,1095
Oct_13,811
Oct_12,825
Oct_11,814
Oct_10,1012
Oct_9,617
Oct_8,506
Oct_7,611
Oct_6,432
Oct_5,518
Oct_4,364
Oct_3,613
Oct_2,470
Oct_1,442
Sep_30,429
Sep_29,363
Sep_28,390
Sep_27,430
Sep_26,248
Sep_25,326
Sep_24,324
Sep_23,234
Sep_22,334
Sep_21,188
Sep_20,396
Sep_19,274
Sep_18,253
Sep_17,240
Sep_16,254
Sep_15,357
Sep_14,208
Sep_13,255
Sep_12,159
Sep_11,211
Sep_10,196
Sep_9,84
Sep_8,307
Sep_7,102
Sep_6,138
Sep_5,231
Sep_4,98
Sep_3,95
Sep_2,89
Sep_1,217
Aug_31,53
Aug_30,42
Aug_29,142
Aug_28,127
Aug_27,93
Aug_26,164
Aug_25,92
Aug_24,147
Aug_23,61
Aug_22,156
Aug_21,79
Aug_20,136
Aug_19,54
Aug_18,190
Aug_17,56
Aug_16,66
Aug_15,200
Aug_14,67
Aug_13,92
Aug_12,40
Aug_11,35
Aug_10,57
Aug_9,68
Aug_8,174
Aug_7,98
Aug_6,69
Aug_5,50
Aug_4,45
Aug_3,46
Aug_2,53
Aug_1,45
Jul_31,38
Jul_30,85
Jul_29,14
Jul_28,40
Jul_27,11
Jul_26,12
Jul_25,24
Jul_24,20
Jul_23,7
Jul_22,17
Jul_21,36
Jul_20,6
Jul_19,10
Jul_18,21
Jul_17,34
Jul_16,21
Jul_15,14
Jul_14,32
Jul_13,11
Jul_12,17
Jul_11,23
Jul_10,25
Jul_9,23
Jul_8,11
Jul_7,24
Jul_6,4
Jul_5,18
Jul_4,11
Jul_3,9
Jul_2,15
Jul_1,6
Jun_30,11
Jun_29,24
Jun_28,1
Jun_27,23
Jun_26,11
Jun_25,11
Jun_24,5
Jun_23,10
Jun_22,4
Jun_21,6
Jun_20,22
Jun_19,13
Jun_18,16
Jun_17,8
Jun_16,14
Jun_15,18
Jun_14,8
Jun_13,46
Jun_12,13
Jun_11,8
Jun_10,19
Jun_9,9
Jun_8,9
Jun_7,25
Jun_6,24
Jun_5,28
Jun_4,38
Jun_3,47
Jun_2,10
Jun_1,77
May_31,66
May_30,59
May_29,39
May_28,46
May_27,73
May_26,37
May_25,59
May_24,57
May_23,76
May_22,115
May_21,76
May_20,64
May_19,51
May_18,88
May_17,64
May_16,92
May_15,129
May_14,426
May_13,159
May_12,107
May_11,139
May_10,236
May_9,219
May_8,156
May_7,137
May_6,265
May_5,211
May_4,266
May_3,330
May_2,343
May_1,221
Apr_30,359
Apr_29,376
Apr_28,229
Apr_27,386
Apr_26,701
Apr_25,377
Apr_24,577
Apr_23,936
Apr_22,631
Apr_21,388
Apr_20,401
Apr_19,445
Apr_18,630
Apr_17,597
Apr_16,629
Apr_15,657
Apr_14,548
Apr_13,527
Apr_12,430
Apr_11,553
Apr_10,480
Apr_9,500
Apr_8,365
Apr_7,345
Apr_6,370
Apr_5,390
Apr_4,331
Apr_3,424
Apr_2,402
Apr_1,212
Mar_31,325
Mar_30,295
Mar_29,200
Mar_28,294
Mar_27,302
Mar_26,255
Mar_25,235
Mar_24,204
Mar_23,219
Mar_22,121
Mar_21,102
Mar_20,126
Mar_19,191
Mar_18,74
Mar_17,69
Mar_16,54
Mar_15,40
Mar_14,39
Mar_13,20
Mar_12,27
Mar_11,9
Mar_10,10
Mar_9,3
Mar_8,2
Mar_7,1
Mar_6,5
Mar_5,7
Mar_4,4
Mar_3,1
Mar_2,0
Mar_1,0
Feb_29,1
