Month,Number_of_cases
January_5_2021,779548
January_4_2021,772103
January_3_2021,765350
January_2_2021,758473
January_1_2021,751270
December_31_2020,743198
December_30_2020,735124
December_29_2020,727122
December_28_2020,719219
December_27_2020,713365
December_26_2020,706837
December_25_2020,700097
December_24_2020,692838
December_23_2020,685639
December_22_2020,678125
December_21_2020,671778
December_20_2020,664930
December_19_2020,657948
December_18_2020,650197
December_17_2020,643508
December_16_2020,636154
December_15_2020,629429
December_14_2020,623309
December_13_2020,617820
December_12_2020,611631
December_11_2020,605243
December_10_2020,598933
December_9_2020,592900
December_8_2020,586842
December_7_2020,581550
December_6_2020,575796
December_5_2020,569707
December_4_2020,563680
December_3_2020,557877
December_2_2020,549508
December_1_2020,543975
November_30_2020,538883
November_29_2020,534266
November_28_2020,527999
November_27_2020,522581
November_26_2020,516753
November_25_2020,511836
November_24_2020,506302
November_23_2020,502110
November_22_2020,497668
November_21_2020,493308
November_20_2020,488310
November_19_2020,483518
November_18_2020,478720
November_17_2020,474455
November_16_2020,470648
November_15_2020,467113
November_14_2020,463007
November_13_2020,457735
November_12_2020,452291
November_11_2020,448118
November_10_2020,444348
November_9_2020,440569
November_8_2020,437716
November_7_2020,433836
November_6_2020,429574
November_5_2020,425796
November_4_2020,421731
November_3_2020,418375
November_2_2020,415402
November_1_2020,412784
October_31_2020,410088
October_30_2020,406945
October_29_2020,404048
October_28_2020,400483
October_27_2020,396454
October_26_2020,392934
October_25_2020,389712
October_24_2020,385980
October_23_2020,381910
October_22_2020,377541
October_21_2020,373109
October_20_2020,368842
October_19_2020,365240
October_18_2020,361867
October_17_2020,357762
October_16_2020,353461
October_15_2020,349160
October_14_2020,344749
October_13_2020,340622
October_12_2020,336716
October_11_2020,333449
October_10_2020,328952
October_9_2020,324658
October_8_2020,320564
October_7_2020,315714
October_6_2020,311176
October_5_2020,307120
October_4_2020,303498
October_3_2020,299506
October_2_2020,295499
October_1_2020,291182
September_30_2020,287008
September_29_2020,282724
September_28_2020,278722
September_27_2020,275213
September_26_2020,271339
September_25_2020,266845
September_24_2020,262022
September_23_2020,257388
September_22_2020,252923
September_21_2020,248852
September_20_2020,244676
September_19_2020,240687
September_18_2020,236519
September_17_2020,232628
September_16_2020,228993
September_15_2020,225030
September_14_2020,221523
September_13_2020,218382
September_12_2020,214746
September_11_2020,210940
September_10_2020,207203
September_9_2020,203342
September_8_2020,200035
September_7_2020,196989
