Company_(Country_of_origin),Retail_revenue_in_billion_U.S._dollars
Amazon.com_(United_States),79.27
JD.com_Inc._(China),26.99
Apple_Inc._(United_States),24.37
Walmart_Stores_Inc._(United_States),13.7
Suning_Commerce_Group_Co._Ltd._(China),8.1
Otto_GmbH_&_Co_KG_(Germany),7.18
Tesco_PLC_(UK),6.54
Vipshop_Holdings_(China),6.08
Liberty_Interactive_Corporation_(United_States),5.15
Macy's_Inc._(United_States),4.85
The_Home_Depot_Inc._(United_States),4.69
Best_Buy_Co._Inc._(United_Kingdom),4.0
Casino_Guichard-Perrachon_S.A._(France),3.76
Costco_Wholesale_Operation_(United_States),3.5
Zalando_SE_(Germany),3.29
Home_Retail_Group_PLC_(United_Kingdom),3.04
John_Lewis_Partnership_plc_(United_Kingdom),3.0
Nordstrom_Inc._(United_States),2.83
Kohl's_Corporation_(United_States),2.8
Shop_Direct_Group_(United_Kingdom),2.76
