Response,Share_of_advertising_investment
Food,15.4
Automotive,10.9
Distribution,8.5
Pharmaceuticals,7.6
Telecommunications,6
Alcoholic_and_non-alcoholic_beverages,5.8
Media,5
Home_furnishing,4.7
Utilities,4.5
Finance/insurance,4.3
Toiletries,3.4
Personal_care,3.3
Professional_services,2.9
Apparel,2.8
Institutions,2.5
Manufacturing/constructions,2.2
Others,2.2
Leisure,2.2
Tourism_and_travel,1.7
Household_appliance,1.1
Personal_effects,1
Motorbike/vehicle,0.6
Toys/school_items,0.6
Informatics/photography,0.5
