baseball_team,Beer_price_in_U.S._dollars
New_York_Mets_(20),11.0
Chicago_Cubs_(16),9.5
Washington_Nationals_(16),9.0
Boston_Red_Sox_(12),8.5
San_Francisco_Giants_(14),8.25
Chicago_White_Sox_(16),7.0
Houston_Astros_(14),6.5
Cincinnati_Reds_(14),6.5
Los_Angeles_Dodgers_(16),6.25
Philadelphia_Phillies_(12),6.0
San_Diego_Padres_(12),6.0
Oakland_Athletics_(12),6.0
New_York_Yankees_(12),6.0
Pittsburgh_Pirates_(16),6.0
Texas_Rangers_(16),6.0
MLB_league_average_(14),5.97
Toronto_Blue_Jays_(16),5.63
Seattle_Mariners_(12),5.0
Miami_Marlins_(12),5.0
Los_Angeles_Angels_(12),5.0
St._Louis_Cardinals_(12),5.0
Detroit_Tigers_(12),5.0
Tampa_Bay_Rays_(12),5.0
Cleveland_Indians_(12),5.0
Minnesota_Twins_(12),5.0
Atlanta_Braves_(12),5.0
Milwaukee_Brewers_(12),5.0
Kansas_City_Royals_(12),4.0
Arizona_Diamondbacks_(14),4.0
Baltimore_Orioles_(12),4.0
Colorado_Rockies_(12),3.0
