Year,"Total,_15_years_and_older",15_to_19_years,20_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_64_years,65_to_74_years,75_years_and_older
2010,5.18,5.69,5.34,4.4,4.17,4.66,5.24,6.85,7.69
2011,5.21,5.98,5.09,4.24,4.23,4.69,5.55,6.9,7.39
2012,5.37,5.86,5.55,4.42,4.27,4.81,5.59,7.1,7.68
2013,5.26,5.61,5.22,4.3,4.12,4.65,5.7,7.13,7.48
2014,5.3,5.74,5.45,4.34,4.1,4.75,5.45,6.94,8.02
2015,5.21,5.81,4.72,4.25,4.0,4.7,5.57,6.84,7.82
2016,5.13,5.2,4.8,4.13,3.97,4.59,5.57,6.92,7.6
2017,5.24,5.6,5.21,4.21,3.95,4.55,5.42,7.32,7.77
2018,5.27,5.79,5.02,4.22,4.08,4.54,5.49,7.17,7.75
2019,5.19,5.34,4.91,4.28,3.99,4.38,5.45,7.1,7.67
