Quarter,Computer_Entertainment_System_(PS2_/_PS3),Portable_Entertainment_System_PS_TV_/_PS_Vita_/_PSP),PS4
Q3_'19,0,0,6.1
Q2_'19,0,0,2.8
Q1_'19,0,0,3.2
Q4_'18,0,0,2.6
Q3_'18,0,0,8.1
Q2_'18,0,0,3.9
Q1_'18,0,0,3.2
Q4_'17,0,0,2.5
Q3_'17,0,0,9
Q2_'17,0,0,4.2
Q1_'17,0,0,3.3
Q4_'16,0,0,2.9
Q3_'16,0,0,9.7
Q2_'16,0,0,3.9
Q1_'16,0,0,3.5
Q4_'15,0,0,2.3
Q3_'15,0,0,8.4
Q2_'15,0,0,4
Q1_'15,0,0,3
Q4_'14,0.4,0.45,2.4
Q3_'14,1.1,1.4,6.4
Q2_'14,0.8,0.7,3.3
Q1_'14,0.8,0.75,2.7
Q4_'13,0.7,0.7,3
Q3_'13,3.3,2,4.5
Q2_'13,2,0.8,0
Q1_'13,1.1,0.6,0
Q4_'12,3.4,1.3,0
Q3_'12,6.8,2.7,0
Q2_'12,3.5,1.6,0
Q1_'12,2.8,1.4,0
Q4_'11,2.5,0.9,0
Q3_'11,7.4,2.4,0
Q2_'11,4.9,1.7,0
Q1_'11,3.2,1.8,0
