Response,Share_of_respondents
Air_pollution,58
Water_pollution_(seas_rivers_lakes_and_underground_sources),52
The_impact_on_our_health_of_chemicals_used_in_everyday_products,51
Depletion_of_natural_resources,47
The_growing_amount_of_waste,41
Agricultural_pollution_(use_of_pesticides._fertilizers_etc.),35
Shortage_of_drinking_water,33
Loss_or_extinction_of_species_and_their_habitats_and_of_natural_ecosystems_(forests_fertile_soils),29
Our_consumption_habits,28
Urban_problems_(traffic_jams_pollution_lack_of_green_spaces_etc.),19
