Types_of_insurance_contracts,Gross_written_premiums_in_million_Croatian_kuna
Motor_vehicle_liability_insurance,596.23
Insurance_of_land_motor_vehicles,348.2
Other_property_insurance_lines,280.47
Insurance_against_fireand_natural_disasters,259.86
Health_insurance,188.12
Other_liability_insurance_lines,177.16
Personal_accident_insurance,138.54
Credit_insurance,89.62
Insurance_of_vessels,54.66
Insurance_of_miscellaneousfinancial_losses,53.48
Assistance_(travel_insurance),37.5
Insurance_of_goods_in_transit,17.5
Insurance_of_liability_arising_outof_use_of_vessels,7.24
Suretyship_insurance,6.31
Insurance_of_aircrafts,6.15
Insurance_of_legal_protection,2.64
Insurance_of_railway_locomotivesand_rolling_stock,1.78
Aircraft_liability_insurance,1.01
