Response,Female,Male
Food_and_groceries_(incl._non_alcoholic_beverages),66,66
Personal_hygiene_products_(incl._toilet_paper_hand_sanitizer_and_masks),52,47
Household_cleaning_products,34,34
Clothing_apparel_and_fashion_accessories,26,23
Cosmetics_and_beauty_products,22,11
Medication,18,21
Consumer_technology_and_electronics,13,23
Pet_food_and_related_supplies,12,12
Movies_music_and_television_entertainment,11,15
Toys_games_and_puzzles,10,14
Hobby_and_arts_and_craft_supplies,9,9
Furniture_and_household_items,9,8
Others,9,12
Books_and_stationery,6,7
Sports_equipment_and_apparel,5,10
Alcoholic_beverages,2,6
