Metropolitan_statistical_area,"Burglary_cases_per_100,000_inhabitants"
Lake_Charles_LA,1117.7
Alexandria_LA,1106.4
Jonesboro_AR,1058.2
Florence_SC,948.8
Monroe_LA,948.0
Bakersfield_CA,847.3
Vallejo_CA,833.7
Lubbock_TX,813.9
Lawton_OK,806.7
Danville_IL,793.4
Sumter_SC,780.7
Memphis_TN-MS-AR,769.0
Tulsa_OK,737.0
Goldsboro_NC,719.8
Albany_GA,719.6
Macon-Bibb_County_GA,717.7
New_Bern_NC,705.5
Oklahoma_City_OK,678.7
Enid_OK,676.3
Springfield_IL,655.2
Springfield_OH,650.6
Pueblo_CO,641.7
Asheville_NC,624.8
Amarillo_TX,620.2
Lafayette_LA,619.4
Springfield_MO,614.2
Spartanburg_SC,610.5
Shreveport-Bossier_City_LA,608.3
Fort_Smith_AR-OK,603.3
Anchorage_AK,600.1
Burlington_NC,590.0
Panama_City_FL,589.6
Kalamazoo-Portage_MI,586.4
Greensboro-High_Point_NC,578.8
Joplin_MO,574.0
Las_Vegas-Henderson-Paradise_NV,572.8
Sioux_City_IA-NE-SD,569.7
Corpus_Christi_TX,569.1
Tallahassee_FL,560.3
Texarkana_TX-AR,558.8
Lake_Havasu_City-Kingman_AZ,555.4
Gulfport-Biloxi_MS,550.8
Baton_Rouge_LA,547.0
Lima_OH,546.9
Vineland-Bridgeton_NJ,545.5
Spokane-Spokane_Valley_WA,543.9
St._Joseph_MO-KS,542.6
Columbia_SC,532.4
Victoria_TX,530.6
Fairbanks_AK,529.7
