Month,Units_sold
Dec_'19,515
Nov_'19,398
Oct_'19,431
Sep_'19,1490
Aug_'19,302
Jul_'19,675
Jun_'19,1154
May_'19,773
Apr_'19,811
Mar_'19,2176
Feb_'19,183
Jan_'19,403
Dec_'18,439
Nov_'18,384
Oct_'18,535
Sep_'18,1199
Aug_'18,363
Jul_'18,627
Jun_'18,1358
May_'18,924
Apr_'18,674
Mar_'18,1938
Feb_'18,233
Jan_'18,339
Dec_'17,323
Nov_'17,343
Oct_'17,522
Sep_'17,1305
Aug_'17,370
Jul_'17,682
Jun_'17,1297
May_'17,907
Apr_'17,902
Mar_'17,2101
Feb_'17,272
Jan_'17,263
Dec_'16,400
Nov_'16,322
Oct_'16,337
Sep_'16,1510
Aug_'16,226
Jul_'16,596
Jun_´16,1148
May_'16,856
Apr_'16,807
Mar_'16,1688
Feb_'16,215
Jan_'16,320
