Response,Share_of_GDP
Mining_quarrying_and_oil_and_gas_extraction,16.12
Real_estate_and_rental_and_leasing,11.74
Construction,8.81
Manufacturing,8.08
Health_care_and_social_assistance,6.83
Transportation_and_warehousing,5.74
Professional_scientific_and_technical_services,5.43
Public_administration,5.42
Wholesale_trade,4.6
Finance_and_insurance,4.55
Retail_trade,4.42
Educational_services,4.11
Administrative_and_support_waste_management_and_remediation_services,2.84
Accommodation_and_food_services,2.28
Other_services_(except_public_administration),2.11
Information_and_cultural_industries,1.91
Utilities,1.9
Agriculture_forestry_fishing_and_hunting,1.77
Management_of_companies_and_enterprises,0.73
Arts_entertainment_and_recreation,0.61
