Month,Consumer_Confidence_Index
Apr_'20,54.85
Mar_'20,58.24
Feb_'20,57.26
Jan_'20,58.82
Dec_'19,58.77
Nov_'19,59.9
Oct_'19,56.97
Sep_'19,55.78
Aug_'19,58.25
Jul_'19,56.49
Jun_'19,57.63
May_'19,55.28
Apr_'19,63.54
Mar_'19,59.45
Feb_'19,57.79
Jan_'19,58.2
Dec_'18,58.72
Nov_'18,60.02
Oct_'18,57.6
Sep_'18,59.95
Aug_'18,68.17
Jul_'18,72.68
Jun_'18,70.14
May_'18,69.55
Apr_'18,71.36
Mar_'18,71.29
Feb_'18,72.2
Jan_'18,72.02
Dec_'17,65.64
Nov_'17,65.58
Oct_'17,67.63
Sep_'17,69.33
Aug_'17,71.02
Jul_'17,70.95
Jun_'17,69.87
May_'17,72.48
Apr_'17,70.78
Mar_'17,67.8
Feb_'17,65.67
Jan_'17,66.61
Dec_'16,63.87
Nov_'16,69.31
Oct_'16,74.32
Sep_'16,74.9
Aug_'16,74.35
Jul_'16,66.68
Jun_'16,69.31
May_'16,68.47
Apr_'16,67.99
Mar_'16,66.99
Feb_'16,66.57
Jan_'16,71.26
Dec_'15,74.01
Nov_'15,77.5
Oct_'15,63.06
Sep_'15,59.14
Aug_'15,62.3
Jul_'15,64.33
Jun_'15,66.35
May_'15,64.02
Apr_'15,64.91
Mar_'15,64.38
Feb_'15,67.99
Jan_'15,67.34
Dec_'14,68.15
Nov_'14,69.01
Oct_'14,70.6
Sep_'14,74.59
Aug_'14,73.22
Jul_'14,73.58
Jun_'14,73.6
May_'14,75.73
Apr_'14,78.06
Mar_'14,72.67
Feb_'14,69.15
Jan_'14,71.98
Dec_'13,75.35
Nov_'13,77.84
Oct_'13,75.82
Sep_'13,72.76
Aug_'13,77.2
Jul_'13,78.13
Jun_'13,76.12
May_'13,77.17
Apr_'13,75.22
Mar_'13,74.83
Feb_'13,76.55
Jan_'13,75.38
Dec_'12,73.96
Nov_'12,72.96
Oct_'12,69.65
Sep_'12,72.77
Aug_'12,74.4
Jul_'12,76.7
Jun_'12,76.66
May_'12,77.82
Apr_'12,75.35
Mar_'12,79.23
Feb_'12,79.52
Jan_'12,78.6
