Response,Percentage_of_executives
I_feel_used_up_at_the_end_of_the_workday,47
I_feel_emotionally_drained_from_my_work,35
I_feel_tired_when_I_get_up_in_the_morning_and_have_to_face_another_day…,34
I_have_become_less_enthusiastic_about_my_work,28
I_feel_burnt_out_from_my_work,25
I_just_want_to_do_my_job_and_not_be_bothered,23
I_have_become_less_interested_in_my_work,22
I_have_become_more_cynical_about_whether_my_work_contributes_to…,22
I_doubt_the_significance_of_my_work,18
Working_all_day_is_really_a_strain_for_me,17
