Quarter,Imports_in_billion_U.S._dollars
Q2_'20,609.55
Q1_'20,732.03
Q4_'19,762.23
Q3_'19,779.85
Q2_'19,783.61
Q1_'19,779.45
Q4_'18,793.18
Q3_'18,787.03
Q2_'18,769.91
Q1_'18,769.2
Q4_'17,753.4
Q3_'17,720.77
Q2_'17,716.79
Q1_'17,710.22
Q4_'16,695.41
Q3_'16,685.26
Q2_'16,672.37
Q1_'16,666.06
Q4_'15,679.86
Q3_'15,694.12
Q2_'15,697.18
Q1_'15,699.85
Q4_'14,722.32
Q3_'14,720.03
Q2_'14,723.16
Q1_'14,710.9
Q4_'13,694.04
Q3_'13,690.0
Q2_'13,688.0
Q1_'13,688.04
Q4_'12,689.96
Q3_'12,688.13
Q2_'12,696.6
Q1_'12,698.68
Q4_'11,688.33
Q3_'11,682.43
Q2_'11,674.88
Q1_'11,652.43
Q4_'10,619.47
Q3_'10,604.72
Q2_'10,588.05
Q1_'10,563.17
