Life_insurance_company,Market_capitalization_in_billion_U.S._dollars
Ping_An_Insurance_Group_(China),187.2
AIA_Group_(Hong_Kong),111.8
China_Life_Insurance_(China),60.3
Prudential_(United_Kingdom),36.9
Metlife_(United_States),32.8
Japan_Post_Holdings_(Japan),32.7
China_Pacific_Insurance_(China),30.0
Aflac_(United_States),26.9
Manulife_(Canada),24.5
Cathay_Financial_(Taiwan),17.7
Legal_&_General_Group_(United_Kingdom),15.3
Dai-ichi_Life_Insurance_(Japan),14.4
Aviva_(United_Kingdom),12.0
Swiss_Life_Holding_(Switzerland),11.3
New_China_Life_Insurance_(China),10.8
