Month,Market_share
August_2020,0.33
July_2020,0.48
June_2020,0.51
May_2020,0.5
April_2020,0.56
March_2020,0.48
February_2020,0.51
January_2020,0.6
December_2019,0.58
November_2019,0.58
October_2019,1.9
September_2019,0.84
August_2019,0.96
July_2019,0.89
June_2019,1.11
May_2019,1.32
April_2019,1.51
March_2019,1.62
February_2019,2
January_2019,3.5
December_2018,3.56
November_2018,3.3
October_2018,2.03
September_2018,1.91
August_2018,1.66
July_2018,1.41
June_2018,1.68
May_2018,1.49
April_2018,1.88
March_2018,1.56
February_2018,1.25
January_2018,1.32
December_2017,1.6
November_2017,1.79
October_2017,2.27
September_2017,2.57
