stadiums/arenas,Sport_events,Concert/Show/Entertainment,Corporate_events,Other_events
Allianz_Arena_(Munich),25,0,579,0
Signal_Iduna_Park_(Dortmund),13,0,0,368
Veltins-Arena_(Gelsenkirchen),9,1,246,49
Weser-Stadion_(Bremen),9,0,242,0
Borussia-Park_(Mönchengladbach),10,1,200,0
Volkswagen_Arena_(Wolfsburg),15,0,179,0
Commerzbank-Arena_(Frankfurt),9,5,151,1
BayArena_(Leverkusen),10,1,155,0
Voith-Arena_(Heidenheim),21,4,135,0
HDI-Arena_(Hannover),16,42,80,14
Mercedes-Benz_Arena_(Stuttgart),13,3,125,0
Grundig_Stadion_(Nurnberg),19,1,78,14
