charity,Revenue_in_billion_U.S._dollars
Lutheran_Services_in_America,22.62
Mayo_Clinic,13.03
New_York-Presbyterian_Hospital,9.67
Mount_Sinai_Health_Systems,7.85
YMCA_of_the_USA,7.74
Goodwill_Industries_International,6.1
Cedars-Sinai_Medical_Center,5.41
Memorial_Sloan_Kettering_Cancer_Center,5.12
The_Arc,4.6
Catholic_Charities_USA,4.45
Salvation_Army,3.86
United_Way_Worldwide,3.66
American_National_Red_Cross,3.59
Feeding_America,2.83
Task_Force_for_Global_Health,2.64
City_of_Hope,2.43
St._Jude_Children's_Research_Hospital,2.32
Habitat_for_Humanity_International,2.25
Boys_&_Girls_Clubs_of_America,2.2
Easter_Seals,2.17
