film,Box_office_gross_in_million_U.S._dollars
Star_Wars:_The_Last_Jedi,1332.4
Beauty_and_the_Beast,1263.5
The_Fate_of_the_Furious,1236.0
Despicable_Me_3,1034.8
Jumanji:_Welcome_to_the_Jungle,957.7
Spider-Man:_Homecoming,880.2
Wolf_Warrior_2,870.3
Guardians_of_the_Galaxy_Vol._2,863.8
Thor:_Ragnarok,854.0
Wonder_Woman,821.8
Coco,800.5
Pirates_of_the_Caribbean:_Dead_Men_Tell_No_Tales,794.9
It,700.4
Justice_League,657.9
Logan,619.0
Transformers:_The_Last_Knight,605.4
Kong:_Skull_Island,566.7
The_Boss_Baby,528.0
Dunkirk,525.2
War_for_the_Planet_of_the_Apes,490.7
