university,Number_of_students
Stockholm_University,34171
University_of_Gothenburg,33426
Uppsala_University,32051
Lund_University,29829
Linköping_University,22551
Umeå_University,21806
Linnaeus_University,20291
Malmö_University,14926
KTH_Royal_Institute_of_Technology,14263
Karlstad_University,10992
Örebro_University,10920
Mälardalen_University_College,10676
Chalmers_University_of_Technology,10102
Mid_Sweden_University,10007
Luleå_University_of_Technology,9534
Dalarna_University,9203
Jönköping_University,9065
Gävle_University_College,8833
Kristianstad_University,8604
University_of_Borås,8299
