Response,Share_of_respondents
Avoid_cultural_and_sports_events,86
Avoid_meetings_courses_or_conferences,84
Limit_or_avoid_private_transport,83
Limit_or_avoid_public_transport,82
Limit_or_avoid_commuting_to_work,76
Postpone_or_cancel_travel_plans,73
Avoid_social_interaction_with_family_and_friends,68
Stay_at_home_even_if_not_sick,51
Been_asked_to_stay_home_even_if_not_sick,44
Postponed_major_purchases_(f.ex._car_white_electronics_refurbishment),39
Shop_for_more_food_and_consumer_goods_than_normally,26
