Response,Share_of_respondents
Clothing_apparel_and_fashion_accessories,47.48
Food_and_groceries_(incl._non_alcoholic_beverages),42.23
Personal_hygiene_products_(incl._toilet_paper_hand_sanitizer_and_masks),40.18
Cosmetics_and_beauty_products,33.73
Household_cleaning_products,32.78
Books_and_stationery,31.67
Consumer_technology_and_electronics,24.18
Toys_games_and_puzzles,17.28
Furniture_and_household_items,17.18
Sports_equipment_and_apparel,16.68
Medication,13.95
Pet_food_and_related_supplies,13.01
Movies_music_and_television_entertainment,12
Hobby_and_arts_and_craft_supplies,7.77
Alcoholic_beverages,7.53
Others,5.58
