Retail_channel,2013,2018
Hypermarkets_supermarkets_and_hard_discounters,33.9,34
Food_&_beverage_specialists_and_c-stores,16.6,16.1
Home_improvement_and_gardening_supplies_retailers,8.2,7.2
Clothing_footwear_accessories_and_luxury_goods_specialists,8,8.1
Furniture_and_homewares_retailers,6.1,5.9
Electricals_and_electronics_specialists,5.7,5.6
Online,5.5,8.1
Department_stores,4.1,3.7
Others,3.3,3.3
Other_specialist_retailers,2.3,2.1
Drugstores_and_health_and_beauty_stores,2.3,2.3
Music_video_book_stationery_and_games_specialists,2.1,1.7
Value_variety_stores_and_general_merchandise_retailers,1.8,1.9
