Industry,Real_value_added_in_billion_chained_(2012)_U.S._dollars
Finance_insurance_real_estate_rental_and_leasing,5.23
Educational_services_health_care_and_social_assistance,4.18
Government_and_government_enterprises,4.12
Professional_and_business_services,3.35
Manufacturing,2.9
Retail_trade,2.43
Arts_entertainment_recreation_accommodation_and_food_services,1.87
Wholesale_trade,1.49
Information,0.96
Construction,0.84
Agriculture_forestry_fishing_and_hunting,0.65
Utilities,0.57
Transportation_and_warehousing,0.48
Mining_quarrying_and_oil_and_gas_extraction,0.18
