Response,Share_of_households_with_home_internet_use
Georgia,1.9
Maine,1.5
Montana,1.5
New_Jersey,1.4
Iowa,1.3
Mississippi,1.3
Vermont,1.3
Kansas,1.1
North_Carolina,1.1
New_Hampshire,1
New_Mexico,1
Nebraska,0.9
Wyoming,0.9
South_Carolina,0.8
California,0.7
Indiana,0.7
Maryland,0.7
Nevada,0.7
Wisconsin,0.7
Total_US,0.6
Idaho,0.6
Illinois,0.6
Kentucky,0.6
Washington,0.6
Missouri,0.5
Texas,0.5
West_Virginia,0.5
Alaska,0.4
Delaware,0.4
Florida,0.4
Hawaii,0.4
North_Dakota,0.4
Oregon,0.4
Pennsylvania,0.4
District_of_Columbia,0.3
Ohio,0.3
Rhode_Island,0.3
Utah,0.3
Arkansas,0.2
Colorado,0.2
Oklahoma,0.2
South_Dakota,0.2
Virginia,0.2
Alabama,0.1
Arizona,0.1
Louisiana,0.1
Massachusetts,0.1
Michigan,0.1
Minnesota,0.1
New_York,0.1
Tennessee,0.1
