Response,Feb_28_to_Mar_1,Mar_12_to_Mar_13,Mar_19_to_Mar_20,Mar_26_to_Mar_27,Apr_9_to_Apr_14,Apr_16_to_Apr_17
Cancel_large_sporting_events_concerts_or_other_large_events,36,56,81,86,87,87
Encourage_companies_to_allow_people_to_work_from_home,45,66,78,84,83,82
Temporarily_close_schools,17,34,64,81,75,74
Quarantine_anyone_who_has_been_in_contact_with_a_contaminated_patient,65,59,68,74,72,70
Quarantine_all_inbound_flights_from_countries_with_confirmed_cases_of_Coronavirus,43,41,63,74,67,67
Stop_all_inbound_flights_from_countries_with_confirmed_cases_of_Coronavirus,36,41,63,72,62,62
Quarantine_all_passengers_on_all_flights_from_Mainland_China,50,47,58,67,62,61
Stop_all_flights_from_Mainland_China,46,50,59,68,60,59
Cancel_routine_hospital_appointments_and_operations,7,27,57,66,60,54
Provide_free_masks_for_all_people_in_Britain,25,16,22,29,32,40
Quarantine_all_Chinese_travellers_currently_in_Britain,19,19,25,32,31,30
Quarantine_any_location_in_Britain_that_a_contaminated_patient_has_been_in,26,18,23,34,32,27
I_don't_think_the_government_should_take_any_measures,4,3,1,1,1,1
Other,3,5,0,0,0,0
