Lobbying_industry,Spending_in_million_U.S._dollars
Pharmaceuticals/Health_Products,295.17
Electronics_Mfg_&_Equip,156.39
Insurance,155.5
Oil_&_Gas,124.7
Business_Associations,121.27
Electric_Utilities,117.93
Hospitals/Nursing_Homes,106.9
Misc_Manufacturing_&_Distributing,105.35
Air_Transport,104.44
Telecom_Services,100.64
Securities_&_Investment,100.13
Health_Professionals,95.39
Health_Services/HMOs,88.66
Real_Estate,88.44
Non-Profit_Institutions,83.78
Education,80.98
Civil_Servants/Public_Officials,75.11
Internet,74.72
Automotive,68.92
Commercial_Banks,60.89
