Industry,Average_usual_weekly_hours
Forestry_fishing_mining_quarrying_oil_and_gas,45.0
Agriculture,43.5
Goods-producing_sector,40.4
Construction,40.3
Transportation_and_warehousing,40.2
Manufacturing,39.3
Utilities,38.6
Professional_scientific_and_technical_services,37.0
Public_administration,36.7
Finance_insurance_real_estate_rental_and_leasing,36.7
Total_employed_all_industries,35.7
Other_services_(except_public_administration),34.9
Services-producing_sector,34.5
Health_care_and_social_assistance,34.2
Business_building_and_other_support_services,33.8
Wholesale_and_retail_trade,33.5
Information_culture_and_recreation,32.5
Educational_services,31.8
Accommodation_and_food_services,29.8
