Football_player,Payroll_in_thousand_U.S._dollars
Nicolas_Lodeiro,2502.5
Raul_Ruidiaz,2000.0
Victor_Rodriguez,1087.5
Emanuel__Cecchini,789.0
Kim_Kee-Hee,772.0
Roman_Torres,740.0
Jordan_Morris,619.6
Gustav_Svensson,600.0
Kelvin_Leerdam,600.0
Cristian_Roldan,596.54
Brad_Smith,549.09
Joevin_Jones,528.67
Xavier_Arreaga,500.85
Will_Bruin,358.33
Stefan_Frei,337.5
Harry_Shipp,235.0
Daniel_Leyva,89.87
Alfonso_Ocampo-Chavez,85.75
Nouhou_Tolo,84.0
Jordy_Delem,70.88
Bryan_Meredith,70.88
Saad_Abdul-Salaam,70.25
Jonathan_Campbell,70.25
Justin_Dhillon,70.25
Luis__Silva,70.25
Trey_Muse,65.0
Handwalla_Bwana,57.23
Alex_Roldan,57.23
