Year,Confirmed_cases,Deaths,Recoveries
22_Dec,1829903,49520,0
21_Dec,1819249,49260,0
18_Dec,1797236,48926,0
17_Dec,1785421,48777,0
16_Dec,1773290,48596,0
15_Dec,1762212,48401,0
14_Dec,1751884,48013,0
11_Dec,1730575,47624,0
10_Dec,1720056,47344,0
9_Dec,1712101,47019,0
7_Dec,1702328,46646,0
4_Dec,1684647,46252,0
3_Dec,1675902,46038,0
2_Dec,1665775,45784,0
1_Dec,1656444,45511,0
30_Nov,1648187,45069,0
27_Nov,1628208,44668,0
26_Nov,1617355,44374,0
25_Nov,1605066,44037,0
24_Nov,1594844,43668,0
23_Nov,1582616,43131,0
20_Nov,1556730,42619,0
19_Nov,1541574,42291,0
18_Nov,1525341,42039,0
17_Nov,1510023,41688,0
16_Nov,1496864,41253,0
13_Nov,1458591,40769,0
12_Nov,1437220,40461,0
11_Nov,1417709,40105,0
10_Nov,1398613,39756,0
9_Nov,1381218,39345,0
6_Nov,1328832,38833,0
5_Nov,1306316,38486,0
4_Nov,1284408,38118,0
3_Nov,1259366,36495,0
2_Nov,1240697,36257,0
30_Oct,1185678,35878,0
29_Oct,1160083,35639,0
28_Oct,1136503,35466,0
27_Oct,1116738,35298,0
26_Oct,1098320,35031,0
23_Oct,1046132,34752,0
22_Oct,1026281,34521,0
21_Oct,1005295,34366,0
20_Oct,988322,34210,0
19_Oct,974449,33992,0
16_Oct,936560,33775,0
15_Oct,921374,33553,0
14_Oct,908056,33413,0
13_Oct,896086,33204,0
12_Oct,888968,33124,0
9_Oct,861112,32929,0
8_Oct,848324,32688,0
7_Oct,835901,32562,0
6_Oct,825410,32486,0
5_Oct,813412,32225,0
2_Oct,789932,32086,0
1_Oct,778607,31973,0
30_Sep,769188,31791,0
29_Sep,758172,31614,0
28_Sep,748266,31411,0
25_Sep,716481,31232,0
24_Sep,704209,31118,0
23_Sep,693556,31034,0
22_Sep,682267,30904,0
21_Sep,671468,30663,0
18_Sep,640040,30495,0
17_Sep,625651,30405,0
16_Sep,614360,30243,0
15_Sep,603167,30004,0
14_Sep,593730,29848,0
Sep_11,566326,29747,0
Sep_10,554143,29699,0
Sep_9,543379,29628,0
Sep_8,534513,29594,0
Sep_7,525549,29516,0
Sep_4,498989,29418,0
Sep_3,488513,29264,0
Sep_2,479554,29194,0
Sep_1,470973,29152,0
Aug_31,462858,29094,0
Aug_28,439286,29011,0
Aug_27,429507,28996,0
Aug_26,419849,28971,0
Aug_25,412553,28924,0
Aug_24,405436,28872,0
Aug_21,386054,28838,0
Aug_20,377906,28813,0
Aug_19,370867,28797,0
Aug_18,364196,28670,0
Aug_17,359082,28646,0
Aug_14,342813,28617,0
Aug_13,337334,28605,0
Aug_12,329784,28579,0
Aug_11,326612,28581,0
Aug_10,322980,28576,0
Aug_7,314362,28503,0
Aug_6,309855,28500,0
Aug_5,305767,28499,0
Aug_4,302814,28498,0
Aug_3,297054,28472,0
Jul_31,288522,28445,0
Jul_30,285430,28443,0
Jul_29,282641,28441,0
Jul_28,280610,28436,0
Jul_27,278782,28434,0
Jul_24,272421,28432,0
Jul_23,270166,28429,0
Jul_22,267551,28426,0
Jul_21,266194,28424,0
Jul_20,264836,28422,0
Jul_17,260255,28420,0
Jul_16,258855,28416,0
Jul_15,257494,28413,0
Jul_14,256619,28409,0
Jul_13,255953,28406,0
Jul_10,253908,28403,0
Jul_9,253056,28401,0
Jul_8,252513,28396,0
Jul_7,252130,28392,0
Jul_6,251789,28388,0
Jul_3,250545,28385,0
Jul_2,250103,28368,0
Jul_1,249659,28363,0
Jun_30,249271,28355,0
Jun_29,248970,28346,0
Jun_28,248770,28343,0
Jun_27,248469,28342,0
Jun_26,247905,28338,0
Jun_25,247486,28330,0
Jun_24,247086,28327,0
Jun_23,246752,28325,0
Jun_22,246504,28324,0
Jun_21,246272,28323,0
Jun_20,245938,28322,0
Jun_19,245575,28315,0
Jun_18,245268,27136,0
Jun_17,244683,27136,0
Jun_16,244328,27136,0
Jun_15,244109,27136,0
Jun_14,243928,27136,0
Jun_13,243605,27136,0
Jun_12,243209,27136,0
Jun_11,242707,27136,0
Jun_10,242289,27136,0
Jun_9,241966,27136,0
Jun_8,241717,27136,0
Jun_7,241550,27136,0
Jun_6,241310,27135,0
Jun_5,240978,27134,0
Jun_4,240660,27133,0
Jun_3,240326,27128,0
Jun_2,239932,27127,0
Jun_1,239638,27127,0
May_31,239429,27127,0
May_30,239228,27125,0
May_29,238564,27121,0
May_28,237906,27119,0
May_27,236769,27118,0
May_26,236259,27117,0
May_25,235400,26834,0
May_24,235772,28752,0
May_23,235290,28678,0
May_21,233037,27940,0
May_20,232555,27888,0
May_19,232037,27778,0
May_18,231606,27709,150376
May_17,231350,27650,149576
May_16,230698,27563,146446
May_15,230183,27459,144783
May_14,229540,27321,143374
May_13,228691,27104,140823
May_12,228030,26920,138930
May_11,227436,26744,137139
May_10,224390,26621,136166
May_9,223578,26478,133952
May_8,222857,26299,131148
May_7,221447,26070,128511
May_6,220325,25857,126002
May_5,219329,25613,123486
May_4,218011,25428,121343
May_3,217466,25264,118902
May_2,216582,25100,117248
May_1,215435,24824,114897
Apr_30,213435,24543,112050
Apr_29,212917,24275,108497
Apr_28,210773,23822,102548
Apr_27,209465,23521,100875
Apr_26,207634,23190,98732
Apr_25,223759,22902,95708
Apr_24,219764,22524,92355
Apr_23,213024,22157,89250
Apr_22,208389,21717,85915
Apr_21,204178,21282,82514
Apr_20,200210,20852,80587
Apr_19,195944,20453,77357
Apr_18,191726,20043,74662
Apr_17,188068,19478,72963
Apr_16,182816,19130,74797
Apr_15,177633,18579,70853
Apr_14,172541,18056,67504
Apr_13,169496,17489,64727
Apr_12,166019,16972,62391
Apr_11,161852,16353,59109
Apr_10,157022,15843,55668
Apr_9,152446,15238,52165
Apr_8,146690,14555,48021
Apr_7,140510,13798,43208
Apr_6,135032,13055,40437
Apr_5,130759,12418,38080
Apr_4,124736,11744,34219
Apr_3,117710,10935,30513
Apr_2,110238,10003,26743
Apr_1,102136,9053,22647
Mar_31,94417,8189,19259
Mar_30,85195,7340,16780
Mar_29,78797,6528,14709
Mar_28,72248,5690,12285
Mar_27,64059,4858,9357
Mar_26,56188,4089,7015
Mar_25,47610,3434,5367
Mar_24,39673,2696,3794
Mar_23,33089,2182,3355
Mar_22,28572,1720,2575
Mar_21,24926,1326,2125
Mar_20,19980,1002,1588
Mar_19,17147,767,1107
Mar_18,13716,598,1081
Mar_17,11178,491,1028
Mar_16,9191,309,530
Mar_15,7753,288,517
Mar_14,5753,136,517
Mar_13,4231,121,193
Mar_12,2965,84,189
Mar_11,2140,48,183
Mar_10,1639,36,135
Mar_9,1204,28,23
Mar_6,365,5,0
Mar_5,237,3,0
Mar_4,197,1,0
Mar_3,114,0,0
Feb_28,31,0,0
Feb_27,16,0,0
Feb_26,7,0,0
Feb_25,3,0,0
Feb_12,2,0,0
