Football_player,Payroll_in_thousand_U.S._dollars
Sebastian_Blanco,2853.34
Diego_Valeri,2420.0
Brian_Fernandez,1275.8
Larrys_Mabiala,793.33
Jorge_Villafana,617.5
Jorge_Moreira_Ferreira,607.96
Claude_Dielna,600.0
Diego_Chara,568.75
Tomas_Conechny,396.0
Cristhian_Paredes,283.5
Jeremy_Ebobisse,238.0
Dairon_Asprilla,213.75
Jeff_Attinella,187.25
Julio_Cascante,170.0
Aljaz_Ivacic,160.0
Zarek_Valentin,160.0
Andy_Polo,150.0
Steve_Clark,140.0
Eryk_Williamson,136.5
Bill_Tuiloma,107.51
Marco_Farfan,80.25
Andrea_Flores,70.25
Modou_Jadama,70.25
Kendall_McIntosh,70.25
Renzo_Zambrano,70.25
Foster_Langsdorf,57.23
Marvin_Loria,56.25
