Response,Percentage_of_paintings_containing_element
At_least_one_tree,91
At_least_two_trees,85
Deciduous_tree,56
Coniferous_tree,53
Clouds,44
At_least_one_mountain,39
Grass,36
Lake,34
River_or_stream,33
Bushes,30
Snow-covered_mountain,26
At_least_two_mountains,24
Man-made_structure,22
Cumulus_clouds,21
Rocks,20
Sun,20
Waterfall,20
Snow,19
Cabin,18
Winter_setting,18
Frame,13
Path,13
Oval_frame,9
Ocean,9
Waves,9
Beach,7
Cirrus_clouds,7
Fence,6
Fog,6
Hills,4
Barn,4
Nighttime,3
Flowers,2
Palm_tree,2
Cliff,2
Bridge,2
