Pharmaceutical_company,Indicator_score_from_1_(lowest)_to_5_(highest)
GlaxoSmithKline_plc,4.01
Merck_KGaA,3.34
Novartis_AG,3.34
Eisai_Co._Ltd.,3.19
Roche_Holding_Ltd.,3.11
Sanofi,3.05
Novo_Nordisk_A/S,3.03
Takeda_Pharamceutical_Co.,3.03
Bristol-Myers_Squibb_Co.,2.71
Pfizer_Inc.,2.69
Johnson_&_Johnson,2.68
Bayer_AG,2.61
Merck_&_Co._Inc.,2.6
Astellas_Pharma_Inc.,2.49
AstraZeneca_plc,2.36
Boehringer-Ingelheim_GmbH,2.34
Eli_Lilly_&_Co.,2.06
Gilead_Sciences_Inc.,1.98
AbbVie_Inc.,1.59
Daiichi_Sankyo_Co._Ltd.,1.55
