Country,Number_of_cases
Total,69960
South_Africa,31368
Egypt,7975
Morocco,7618
Tunisia,5004
Algeria,2786
Ethiopia,1965
Kenya,1694
Libya,1546
Sudan,1468
Nigeria,1324
Democratic_Republic_of_the_Congo,599
Cameroon,448
Senegal,433
Zimbabwe,431
Zambia,417
Angola,413
Mauritania,373
Ghana,335
Uganda,294
Mali,285
Madagascar,262
Eswatini,261
Namibia,235
Malawi,199
Mozambique,172
Ivory_Coast,138
Somalia,130
Gambia,125
Niger,113
Cabo_Verde,113
Rwanda,112
Congo,108
Chad,105
Burkina_Faso,89
Equatorial_Guinea,86
Liberia,83
Guinea,81
Sierra_Leone,76
Lesotho,73
Togo,70
Gabon,66
South_Sudan,63
Central_African_Republic,63
Djibouti,61
Mayotte,56
Guinea-Bissau,45
Botswana,45
Benin,44
Réunion,42
Tanzania,21
Sao_Tome_and_Principe,17
Comros,13
Mauritius,10
Eritrea,3
Burundi,2
Seychelles,1
Western_Sahara,1
