Best_and_worst_cities_for_jobs_in_the_United_States,Net_employment_outlook
Greenville-Mauldin-Easley_South_Carolina,24
Knoxville_Tennessee,24
Syracuse_New_York,21
Tulsa_Oklahoma,20
Oklahoma_City_Oklahoma,20
Portland-South_Portland-Biddeford_Maine,19
Denver-Aurora_Colorado,18
Bridgeport-Stamford-Norwalk_Connecticut,18
Columbus_Ohio,18
Boise_City-Nampa_Idaho,17
Grand_Rapids-Wyoming_Michigan,17
Des_Moines-West_Des_Moines_Iowa,17
Phoenix-Mesa-Scottsdale_Arizona,17
New_York-Northern_New_Jersey-Long_Island_New_York-New_Jersey-Pennsylvania,6
Jackson_Mississippi,6
Lakeland-Winter_Haven_Florida,6
Las-Vegas-Paradise_Nevada,5
Providence-New_Bedford-Fall_River_Rhode_Island-Massachusetts,5
Rochester_New_York,4
Scranton-Wilkes-Barre_Pennsylvania,3
Reno-Sparks_Nevada,3
Sacramento-Arden-Arcade-Roseville_California,3
Jacksonville_Florida,2
