Travel_agency,Sales_in_billion_U.S._dollars
Expedia_Inc.,72.4
The_Priceline_Group,68.1
American_Express_Global_Business_Travel,31.1
BCD_Travel,24.6
Carlson_Wagonlit_Travel,22.4
HRG_North_America,16.0
Flight_Centre_Travel_Group_USA,14.4
American_Express_Travel,4.9
Travel_Leaders_Group,4.39
Fareportal,4.13
Corporate_Travel_Management,3.87
AAA_Travel,3.74
Travel_and_Transport,2.86
Altour,2.58
Direct_Travel,2.5
Frosch,1.75
Omega_World_Travel,1.4
JTB_Americas_Group,1.36
World_Travel,1.2
Ovation_Travel_Group,1.14
