top_20_part-time_MBA_programs,Resident,Non-resident
Carnegie_Mellon_University_-_Tepper_School_of_Business,1845,1845
University_of_California_Berkeley_-_Haas_School_of_Business,2790,2790
Southern_Methodist_University_-_Cox_School_of_Business,1,1
University_of_California_Los_Angeles_-_Anderson_School_of_Management,1423,1423
Elon_University_-_Love_School_of_Business,798,798
Loyola_Marymount_University_-_College_of_Business_Administration,1219,1219
Rice_University_-_Jones_Graduate_School_of_Businessl,1768,1768
University_of_Chicago_-_Booth_School_of_Business,0,0
Rollins_College_-_College_of_Arts_&_Science,1126,1126
University_of_Michigan_Ann_Arbor_-_Ross_School_of_Business,1721,1888
University_of_Southern_California_-_Marshall_School_of_Business,1576,1576
Lehigh_University_-_College_of_Business_and_Economics,1050,1050
The_University_of_North_Carolina_at_Greensboro_-_Bryan_School_of_Business,767,2448
Emory_University_-_Goizueta_Business_School,0,0
University_of_Washington_-_Foster_School_of_Business,885,885
Worcester_Polytechnic_Institute_-_School_of_Business,1281,1281
University_of_San_Diego_-_School_of_Business_Administration,1310,1310
University_of_Nebraska_Lincoln_-_College_of_Business_Administration,352,978
Villanova_University_-_School_of_Business,1000,1000
North_Carolina_State_University_-_Poole_College_of_Management,1112,1918
