Quarter,Exports_in_billion_U.S._dollars
Q2_'20,444.65
Q1_'20,605.55
Q4_'19,632.47
Q3_'19,630.19
Q2_'19,631.39
Q1_'19,634.21
Q4_'18,634.73
Q3_'18,634.63
Q2_'18,639.68
Q1_'18,630.35
Q4_'17,618.09
Q3_'17,595.23
Q2_'17,587.17
Q1_'17,586.89
Q4_'16,570.24
Q3_'16,567.61
Q2_'16,553.8
Q1_'16,546.27
Q4_'15,557.27
Q3_'15,567.8
Q2_'15,567.27
Q1_'15,578.4
Q4_'14,598.58
Q3_'14,602.44
Q2_'14,600.9
Q1_'14,590.36
Q4_'13,590.11
Q3_'13,577.11
Q2_'13,573.41
Q1_'13,572.62
Q4_'12,566.82
Q3_'12,562.9
Q2_'12,561.72
Q1_'12,556.02
Q4_'11,545.89
Q3_'11,547.84
Q2_'11,534.59
Q1_'11,515.24
Q4_'10,498.37
Q3_'10,473.16
Q2_'10,457.15
Q1_'10,443.65
