Year,United_Nations,League_of_Nations
2020,193,0
2019,193,0
2018,193,0
2017,193,0
2016,193,0
2015,193,0
2014,193,0
2013,193,0
2012,193,0
2011,193,0
2010,192,0
2009,192,0
2008,192,0
2007,192,0
2006,192,0
2005,191,0
2004,191,0
2003,191,0
2002,191,0
2001,189,0
2000,189,0
1999,187,0
1998,184,0
1997,184,0
1996,184,0
1995,184,0
1994,184,0
1993,183,0
1992,177,0
1991,166,0
1990,159,0
1989,159,0
1988,159,0
1987,159,0
1986,159,0
1985,159,0
1984,159,0
1983,158,0
1982,157,0
1981,157,0
1980,154,0
1979,152,0
1978,151,0
1977,149,0
1976,147,0
1975,144,0
1974,138,0
1973,132,0
1972,132,0
1971,132,0
1970,127,0
1969,126,0
1968,126,0
1967,123,0
1966,120,0
1965,118,0
1964,116,0
1963,114,0
1962,111,0
1961,106,0
1960,101,0
1959,83,0
1958,83,0
1957,83,0
1956,81,0
1955,77,0
1954,60,0
1953,60,0
1952,60,0
1951,60,0
1950,60,0
1949,59,0
1948,58,0
1947,57,0
1946,55,0
1945,51,0
1944,0,43
1943,0,43
1942,0,43
1941,0,44
1940,0,44
1939,0,45
1938,0,50
1937,0,53
1936,0,54
1935,0,57
1934,0,58
1933,0,55
1932,0,57
1931,0,55
1930,0,54
1929,0,54
1928,0,54
1927,0,54
1926,0,54
1925,0,54
1924,0,55
1923,0,54
1922,0,52
1921,0,51
1920,0,48
