Cruise_line_(ship_name)_/_planned_delivery,Passenger_capacity
Royal_Caribbean_(Oasis_III)_Aug_2016,5400
MSC_(unnamed)_Sep_2017,4500
NCL_(Norwegian_Escape)_Oct_2015,4200
Norwegian_(Norwegian_Bliss)_Mar_2017,4200
Royal_Caribbean_(Ovation_of_the_Seas)_Aug_2016,4180
MSC_(Seaside)_Nov_2017,4140
Royal_Caribbean_(Anthem_of_the_Seas)_Jun_2015,4100
Carnival_(Vista)_Oct_2016,4000
P&O_Cruises_(P&O_Britannia)_Feb_2015,3611
Princess_(unnamed)_Jul_2016,3560
AIDA_Cruises_(AIDAprima)_Oct_2015,3250
AIDA_Cruises_(unnamed)_Mar_2016,3250
Holland_America_(Koningsdam)_Feb_2016,2660
Tui_Cruises_(Mein_Schiff_4)_May_2015,2500
Clive_Palmer_(Titanic_II)_Nov_2016,1680
Viking_Ocean_Cruises_(Viking_Sea)_Oct_2016,928
Viking_Ocean_Cruises_(Viking_Star)_May_2015,928
Viking_Ocean_Cruises_(Viking_Sky)_Mar_2016,928
Viking_Ocean_Cruises_(unnamed)_Mar_2017,928
Regent_Seven_Seas_(Explorer)_Aug_2016,738
Compagnie_du_Ponant_(Le_Lyrial)_May_2015,264
Seabourn_Cruise_Line_(unnamed)_Oct_2016,225
