company,Number_of_employees
LKAB,4188
Max_Hotell-och_Restauranginvest_AB,2842
StudentConsulting_Invest_AB,1953
Sveaskog_AB,840
E10_Baren_AB,733
Lindbäcks_Group_AB,586
BDX_Företagen_AB,559
Smurfit_Kappa_Kraftliner_Piteå_AB,532
Concentus_i_Kalix_AB,485
Luleå_Kommunföretag_AB,473
Gestamp_HardTech_AB,449
Polarbrödsgruppen_AB,394
Leana_Förvaltning_AB,390
LL_Intressenter_AB,355
Stenvalls_Trä_AB,337
Last_&_Terräng_Häggroths_Traktor_AB,317
IVAB_Infjärdens_Värme_AB,308
Älvsbyhus_Intressenter_AB,302
Polarica_Holding_AB,288
Piteå_Kommunföretag_AB,246
