Country,GDP_in_million_euros
Germany,3386000.0
United_Kingdom,2393692.8
France_,2348991.0
Italy,1756981.5
Spain_,1208248.0
Netherlands_,773373.0
Turkey_,753904.0
Switzerland,597314.3
Poland,496630.5
Sweden,467011.9
Belgium,450576.8
Austria,386093.8
Norway,368546.4
Ireland,318459.6
Denmark,297633.6
Finland,233555.0
Czechia,206822.9
Romania_,202883.6
Portugal_,201605.7
Greece_,184713.6
Hungary,131935.1
Slovakia,90201.8
Luxembourg,58869.2
Bulgaria_,55182.2
Croatia,51467.8
Slovenia,45947.6
Lithuania,45133.6
Serbia_,42780.2
Latvia,29523.7
Estonia,25656.9
Iceland_,21706.0
Cyprus_,20730.9
Bosnia_and_Herzegovina_,15287.9
Malta,12319.8
Albania_,11575.7
North_Macedonia_,10734.7
Kosovo,6413.8
Liechtenstein,5717.4
Montenegro_,4299.1
