player_name,Number_of_degrees
Health_professions_and_related_programs,80305
Legal_professions_and_studies,34544
Education,12780
Engineering,10817
Biological_and_biomedical_sciences,8222
Psychology,6275
Physical_sciences_and_science_technologies,6181
Social_sciences_and_history,4676
Business,3338
Theology_and_religious_vocations,2023
Computer_and_information_sciences,2017
Mathematics_and_statistics,2010
Visual_and_performing_arts,1759
Agriculture_and_natural_resources,1496
English_language_and_literature/letters,1295
Foreign_languages_literatures_and_linguistics,1213
Public_administration_and_social_services,1157
Multi/interdisciplinary_studies,850
Philosophy_and_religious_studies,768
Communication_journalism_and_related_programs,666
Area_ethnic_cultural_gender_and_group_studies,335
Parks_recreation_leisure_and_fitness_studies,298
Family_and_consumer_sciences/human_sciences,274
Architecture_and_related_services,250
Engineering_technologies_and_engineering-related_fields,212
Homeland_security_law_enforcement_and_firefighting,150
Liberal_arts_and_sciences_general_studiesand_humanities,93
Library_science,54
Transportation_and_materials_moving,16
Construction_trades,0
Communications_technologies,0
Military_technologies_and_applied_sciences,0
Precision_production,0
Mechanic_and_repair_technologies/technicians,0
