Year,Men,Women
2014_Sochi,1800,1000
2010_Vancouver,1522,1044
2006_Turin,1548,960
2002_Salt_Lake_City,1513,886
1998_Nagano,1514,788
1994_Lillehammer,1217,522
1992_Albertville,1313,488
1988_Calgary,1108,315
1984_Sarajevo,998,274
1980_Lake_Placid,839,233
1976_Innsbruck,892,231
1972_Sapporo,800,206
1968_Grenoble,947,211
1964_Innsbruck,891,200
1960_Squaw_Valley,521,144
1956_Cortina_d'Ampezzo,689,132
1952_Oslo,585,109
1948_St._Moritz,592,77
1936_Garmisch-Partenkirchen,566,80
1932_Lake_Placid,220,32
1928_St._Moritz,437,27
1924_Chamonix,245,13
