State,Graduation_rate_of_the_class_of_2016
West_Virginia,92
Texas,88.2
Alabama,87.6
Arkansas,85.8
Florida,85.4
New_Jersey,84.8
Missouri,84.7
Indiana,84.3
Iowa,83.9
Washington,83.2
Tennessee,83.1
Kentucky,83
Maine,83
Wisconsin,82.4
Nevada,82.3
Delaware,82
Illinois,82
Kansas,81.3
U.S._average,81
Nebraska,80.9
California,80.6
South_Carolina,80.5
North_Carolina,80
Hawaii,80
Mississippi,79
Montana,79
Vermont,79
Oklahoma,78.9
Connecticut,78.6
Utah,78.1
Rhode_Island,77
New_Hampshire,76
Alaska,76
Idaho,75.9
Arizona,75.7
North_Dakota,75
Wyoming,75
Oregon,74.6
Georgia,74.6
Michigan,74.4
Massachusetts,73.8
Pennsylvania,73.7
Virginia,73.5
Colorado,73.4
New_Mexico,73.1
Ohio,72.8
Maryland,72.2
New_York,71.6
South_Dakota,71
Louisiana,68
Minnesota,66.8
District_of_Columbia,65
