Month,Price_index
Nov_19,110.64
Oct_19,99.53
Sep_19,106.67
Aug_19,122.47
Jul_19,150.45
Jun_19,150.45
May_19,146.81
Apr_19,143.16
Mar_19,138.93
Feb_19,139.57
Jan_19,138.22
Dec_18,136.87
Nov_18,136.37
Oct_18,124.09
Sep_18,134.3
Aug_18,146.89
Jul_18,116.57
Jun_18,115.14
May_18,115.18
Apr_18,110.3
Mar_18,108.95
Feb_18,106.83
Jan_18,101.13
Dec_17,98.29
Nov_17,95.08
Oct_17,87.01
Sep_17,98.5
Aug_17,113.03
Jul_17,126.5
Jun_17,136.82
May_17,146.96
Apr_17,152.72
Mar_17,154.45
Feb_17,149.52
Jan_17,142.25
Dec_16,140.32
Nov_16,131.63
Oct_16,108.87
Sep_16,116.62
Aug_16,124.27
Jul_16,143.76
Jun_16,178.76
May_16,156.8
Apr_16,141.32
Mar_16,121.08
Feb_16,110.27
Jan_16,108.45
Dec_15,104.29
Nov_15,99.1
Okt_15,98.66
Sep_15,108.35
Aug_15,123.3
Jul_15,118.16
Jun_15,108.41
May_15,96.59
Apr_15,90.71
Mar_15,86.8
Feb_15,84.65
Jan_15,80.97
Dec_14,80.57
Nov_14,79.14
Oct_14,82.1
Sep_14,92.09
Aug_14,103.3
Jul_14,63.41
Jun_14,103.85
May_14,112.75
Apr_14,109.37
